trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.1999999999999997, 'e': 0.24171401689703648}",25,0,-39.258444876917494,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.1999999999999997, 'e': 0.2369277586821218}",25,0,27.300186069288248,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.1999999999999997, 'e': 0.23223627472975886}",20,0,4.525872036498986,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.1999999999999997, 'e': 0.22763768838381276}",35,6,19.233183339636657,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.1999999999999997, 'e': 0.22313016014842985}",25,10,-10.123851251934715,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
76,False,"{'a': 0.1999999999999997, 'e': 0.21871188695221477}",20,13,13.42798605411919,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.1999999999999997, 'e': 0.21438110142697797}",30,17,6.553225930316429,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.1999999999999997, 'e': 0.21013607120076475}",20,2,4.093179897214736,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.1999999999999997, 'e': 0.20597509820488347}",25,6,21.6895537731266,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1999999999999997, 'e': 0.2018965179946554}",20,0,-0.5278354964724976,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
81,False,"{'a': 0.1999999999999997, 'e': 0.19789869908361468}",30,8,18.962269792831624,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.1999999999999997, 'e': 0.19398004229089189}",20,11,2.114404204179352,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.1999999999999997, 'e': 0.19013898010152053}",25,5,18.41038128117424,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.1999999999999997, 'e': 0.18637397603941}",25,9,19.174335797107418,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
